Sr. No. ,Country ,State ,District ,City/Village/Area,Pincode
1,India,Rajasthan ,Jaisalmer,Adabala B.O,345001
2,India,Rajasthan ,Jaisalmer,Ajasar,345023
3,India,Rajasthan ,Jaisalmer,Amarsalagar B.O,345001
4,India,Rajasthan ,Jaisalmer,Askandra,345028
5,India,Rajasthan ,Jaisalmer,Away,345028
6,India,Rajasthan ,Jaisalmer,Badoda Gaon B.O,345001
7,India,Rajasthan ,Jaisalmer,Baghthal,345021
8,India,Rajasthan ,Jaisalmer,Bahala,345028
9,India,Rajasthan ,Jaisalmer,Baiya,345027
10,India,Rajasthan ,Jaisalmer,Balu Singh Ki Dhani,345024
11,India,Rajasthan ,Jaisalmer,Bamnu,345021
12,India,Rajasthan ,Jaisalmer,Bandha B.O,345001
13,India,Rajasthan ,Jaisalmer,Bandhewa,345025
14,India,Rajasthan ,Jaisalmer,Baramsar B.O,345001
15,India,Rajasthan ,Jaisalmer,Barath Ka Gaon,345021
16,India,Rajasthan ,Jaisalmer,Bardana,345023
17,India,Rajasthan ,Jaisalmer,Bericiyala,345034
18,India,Rajasthan ,Jaisalmer,Bhadariya,345031
19,India,Rajasthan ,Jaisalmer,Bhadasar B.O,345001
20,India,Rajasthan ,Jaisalmer,Bhadli,345027
21,India,Rajasthan ,Jaisalmer,Bhagu Ka Gaon B.O,345001
22,India,Rajasthan ,Jaisalmer,Bhaniyana,345024
23,India,Rajasthan ,Jaisalmer,Bharewala,345028
24,India,Rajasthan ,Jaisalmer,Bhensara,345026
25,India,Rajasthan ,Jaisalmer,Bhikodai,345025
26,India,Rajasthan ,Jaisalmer,Bhoo B.O,345001
27,India,Rajasthan ,Jaisalmer,Bida B.O,345001
28,India,Rajasthan ,Jaisalmer,Bodana,342310
29,India,Rajasthan ,Jaisalmer,Bonada,345026
30,India,Rajasthan ,Jaisalmer,Burkiya,345021
31,India,Rajasthan ,Jaisalmer,Chacha,345031
32,India,Rajasthan ,Jaisalmer,Chandan,345031
33,India,Rajasthan ,Jaisalmer,Chandsama,345021
34,India,Rajasthan ,Jaisalmer,Chayan,345023
35,India,Rajasthan ,Jaisalmer,Chelak B.O,345001
36,India,Rajasthan ,Jaisalmer,Chhatrel B.O,345001
37,India,Rajasthan ,Jaisalmer,Chinu,345028
38,India,Rajasthan ,Jaisalmer,Chowk,345021
39,India,Rajasthan ,Jaisalmer,Dabla B.O,345001
40,India,Rajasthan ,Jaisalmer,Dadhu,345021
41,India,Rajasthan ,Jaisalmer,Damodara B.O,345001
42,India,Rajasthan ,Jaisalmer,Dangara B.O,345001
43,India,Rajasthan ,Jaisalmer,Dantal,345025
44,India,Rajasthan ,Jaisalmer,Dedha B.O,345001
45,India,Rajasthan ,Jaisalmer,Delasar,345031
46,India,Rajasthan ,Jaisalmer,Deora B.O,345001
47,India,Rajasthan ,Jaisalmer,Devikot,345027
48,India,Rajasthan ,Jaisalmer,Dewa B.O,345001
49,India,Rajasthan ,Jaisalmer,Dhaisar B.O,345001
50,India,Rajasthan ,Jaisalmer,Dholiya,345031
51,India,Rajasthan ,Jaisalmer,Didhu,345028
52,India,Rajasthan ,Jaisalmer,Ekah,345023
53,India,Rajasthan ,Jaisalmer,Fatehgarh,345027
54,India,Rajasthan ,Jaisalmer,Gandhi Colony Jaisalmer,345001
55,India,Rajasthan ,Jaisalmer,Gomat,345021
56,India,Rajasthan ,Jaisalmer,Hamira,345033
57,India,Rajasthan ,Jaisalmer,Jaimla,345024
58,India,Rajasthan ,Jaisalmer,Jaisalmer Bsf,345001
59,India,Rajasthan ,Jaisalmer,Jaisalmer Collectorate,345001
60,India,Rajasthan ,Jaisalmer,Jaisalmer Gopa Chowk,345001
61,India,Rajasthan ,Jaisalmer,Jaisalmer,345001
62,India,Rajasthan ,Jaisalmer,Jaisalmer Ignp Colony,345001
63,India,Rajasthan ,Jaisalmer,Jhabra,345021
64,India,Rajasthan ,Jaisalmer,Jhalaria,345021
65,India,Rajasthan ,Jaisalmer,Jhinjhinyali,345027
66,India,Rajasthan ,Jaisalmer,Kanod Rawaliya,345033
67,India,Rajasthan ,Jaisalmer,Kanoi B.O,345001
68,India,Rajasthan ,Jaisalmer,Kapuriya,345027
69,India,Rajasthan ,Jaisalmer,Karda,345034
70,India,Rajasthan ,Jaisalmer,Kathori B.O,345001
71,India,Rajasthan ,Jaisalmer,Keeta B.O,345001
72,India,Rajasthan ,Jaisalmer,Kelawa,345021
73,India,Rajasthan ,Jaisalmer,Khara,345023
74,India,Rajasthan ,Jaisalmer,Khetolai,345031
75,India,Rajasthan ,Jaisalmer,Khinya B.O,345001
76,India,Rajasthan ,Jaisalmer,Khoohri,345034
